episode,reward,avg_loss,epsilon,action0_frac,action1_frac,action2_frac
189,0.500000,0.000000,0.994062,1.000000,0.000000,0.000000
190,2.500000,0.000000,0.994031,0.000000,0.000000,1.000000
191,0.500000,0.000000,0.994000,1.000000,0.000000,0.000000
192,0.500000,0.000000,0.993969,1.000000,0.000000,0.000000
193,2.500000,0.000000,0.993938,0.000000,0.000000,1.000000
194,0.500000,0.000000,0.993906,1.000000,0.000000,0.000000
195,0.500000,0.000000,0.993875,1.000000,0.000000,0.000000
196,1.166700,0.000000,0.993844,0.000000,1.000000,0.000000
197,2.500000,0.000000,0.993812,0.000000,0.000000,1.000000
198,0.500000,0.000000,0.993781,1.000000,0.000000,0.000000
199,0.500000,0.000000,0.993750,1.000000,0.000000,0.000000
200,2.499898,2.708180,0.993719,0.000000,0.000000,1.000000
201,0.527763,2.495913,0.993687,1.000000,0.000000,0.000000
202,1.146629,2.434032,0.993656,0.000000,1.000000,0.000000
203,2.473472,2.374511,0.993625,0.000000,0.000000,1.000000
204,0.513215,2.319197,0.993594,1.000000,0.000000,0.000000
205,1.181812,2.263863,0.993563,0.000000,1.000000,0.000000
206,2.506024,2.209997,0.993531,0.000000,0.000000,1.000000
207,0.526056,2.162745,0.993500,1.000000,0.000000,0.000000
208,1.165062,2.107678,0.993469,0.000000,1.000000,0.000000
209,2.533017,2.053954,0.993437,0.000000,0.000000,1.000000
210,2.496747,2.543814,0.993406,0.000000,0.000000,1.000000
211,1.162490,1.949796,0.993375,0.000000,1.000000,0.000000
212,2.545483,1.901929,0.993344,0.000000,0.000000,1.000000
213,2.577144,1.850998,0.993313,0.000000,0.000000,1.000000
214,1.191915,1.800065,0.993281,0.000000,1.000000,0.000000
215,0.533662,1.748216,0.993250,1.000000,0.000000,0.000000
216,0.523992,1.697764,0.993219,1.000000,0.000000,0.000000
217,0.535030,1.649609,0.993188,1.000000,0.000000,0.000000
218,1.173932,1.597243,0.993156,0.000000,1.000000,0.000000
219,2.507146,1.552867,0.993125,0.000000,0.000000,1.000000
220,1.164797,2.026145,0.993094,0.000000,1.000000,0.000000
221,0.503019,1.451648,0.993062,1.000000,0.000000,0.000000
222,2.490570,1.401436,0.993031,0.000000,0.000000,1.000000
223,1.167672,1.353363,0.993000,0.000000,1.000000,0.000000
224,1.148297,1.305884,0.992969,0.000000,1.000000,0.000000
225,1.166201,1.262942,0.992938,0.000000,1.000000,0.000000
226,1.159008,1.214768,0.992906,0.000000,1.000000,0.000000
227,0.514196,1.168407,0.992875,1.000000,0.000000,0.000000
228,2.540820,1.126483,0.992844,0.000000,0.000000,1.000000
229,1.179230,1.082687,0.992812,0.000000,1.000000,0.000000
230,1.162974,1.282457,0.992781,0.000000,1.000000,0.000000
231,1.181480,1.000363,0.992750,0.000000,1.000000,0.000000
232,2.478789,0.959627,0.992719,0.000000,0.000000,1.000000
233,2.535890,0.923496,0.992687,0.000000,0.000000,1.000000
234,2.505576,0.888929,0.992656,0.000000,0.000000,1.000000
235,0.546401,0.852999,0.992625,1.000000,0.000000,0.000000
236,1.177423,0.819759,0.992594,0.000000,1.000000,0.000000
237,1.164582,0.789145,0.992563,0.000000,1.000000,0.000000
238,0.533676,0.760455,0.992531,1.000000,0.000000,0.000000
239,2.545100,0.731336,0.992500,0.000000,0.000000,1.000000
240,2.505943,0.926210,0.992469,0.000000,0.000000,1.000000
241,0.511052,0.681129,0.992437,1.000000,0.000000,0.000000
242,2.505780,0.658942,0.992406,0.000000,0.000000,1.000000
243,1.198356,0.639882,0.992375,0.000000,1.000000,0.000000
244,2.578188,0.619196,0.992344,0.000000,0.000000,1.000000
245,0.517991,0.601478,0.992313,1.000000,0.000000,0.000000
246,1.169806,0.589250,0.992281,0.000000,1.000000,0.000000
247,1.194501,0.571412,0.992250,0.000000,1.000000,0.000000
248,0.523804,0.558724,0.992219,1.000000,0.000000,0.000000
249,2.538013,0.547522,0.992188,0.000000,0.000000,1.000000
250,2.519850,1.034844,0.992156,0.000000,0.000000,1.000000
251,0.528693,0.525785,0.992125,1.000000,0.000000,0.000000
252,0.490224,0.519563,0.992094,1.000000,0.000000,0.000000
253,0.509167,0.510211,0.992062,1.000000,0.000000,0.000000
254,2.548562,0.504368,0.992031,0.000000,0.000000,1.000000
255,0.538019,0.494568,0.992000,1.000000,0.000000,0.000000
256,2.488646,0.490305,0.991969,0.000000,0.000000,1.000000
257,0.541816,0.485630,0.991938,1.000000,0.000000,0.000000
258,0.522241,0.476821,0.991906,1.000000,0.000000,0.000000
259,1.171878,0.472267,0.991875,0.000000,1.000000,0.000000
260,2.514640,0.465860,0.991844,0.000000,0.000000,1.000000
261,1.185077,0.460618,0.991812,0.000000,1.000000,0.000000
262,1.168682,0.456750,0.991781,0.000000,1.000000,0.000000
263,0.515682,0.452792,0.991750,1.000000,0.000000,0.000000
264,0.511878,0.444231,0.991719,1.000000,0.000000,0.000000
265,1.163368,0.435563,0.991688,0.000000,1.000000,0.000000
266,0.476396,0.430368,0.991656,1.000000,0.000000,0.000000
267,0.535543,0.422652,0.991625,1.000000,0.000000,0.000000
268,1.154755,0.412396,0.991594,0.000000,1.000000,0.000000
269,1.155054,0.405606,0.991563,0.000000,1.000000,0.000000
270,1.181422,0.394218,0.991531,0.000000,1.000000,0.000000
271,2.511616,0.383969,0.991500,0.000000,0.000000,1.000000
272,1.155804,0.375587,0.991469,0.000000,1.000000,0.000000
273,1.162222,0.365286,0.991437,0.000000,1.000000,0.000000
274,0.506105,0.351974,0.991406,1.000000,0.000000,0.000000
275,0.493227,0.344360,0.991375,1.000000,0.000000,0.000000
276,2.517904,0.328962,0.991344,0.000000,0.000000,1.000000
277,0.488049,0.320646,0.991313,1.000000,0.000000,0.000000
278,2.509302,0.305643,0.991281,0.000000,0.000000,1.000000
279,0.492869,0.290641,0.991250,1.000000,0.000000,0.000000
280,1.151082,0.277680,0.991219,0.000000,1.000000,0.000000
281,2.482246,0.265469,0.991187,0.000000,0.000000,1.000000
282,0.484515,0.252458,0.991156,1.000000,0.000000,0.000000
283,2.531294,0.236492,0.991125,0.000000,0.000000,1.000000
284,0.495983,0.226421,0.991094,1.000000,0.000000,0.000000
285,0.505457,0.220070,0.991062,1.000000,0.000000,0.000000
286,0.491010,0.197556,0.991031,1.000000,0.000000,0.000000
287,1.162208,0.187459,0.991000,0.000000,1.000000,0.000000
288,1.167025,0.174605,0.990969,0.000000,1.000000,0.000000
289,2.499903,0.162767,0.990938,0.000000,0.000000,1.000000
290,1.145616,0.153576,0.990906,0.000000,1.000000,0.000000
291,0.483588,0.143245,0.990875,1.000000,0.000000,0.000000
292,0.479589,0.133610,0.990844,1.000000,0.000000,0.000000
293,0.459445,0.123503,0.990812,1.000000,0.000000,0.000000
294,0.483221,0.119066,0.990781,1.000000,0.000000,0.000000
295,1.160911,0.109198,0.990750,0.000000,1.000000,0.000000
296,1.152012,0.104611,0.990719,0.000000,1.000000,0.000000
297,0.460486,0.098455,0.990688,1.000000,0.000000,0.000000
298,1.149728,0.092203,0.990656,0.000000,1.000000,0.000000
299,1.137688,0.088640,0.990625,0.000000,1.000000,0.000000
300,1.159772,0.088782,0.990594,0.000000,1.000000,0.000000
301,0.489974,0.083419,0.990563,1.000000,0.000000,0.000000
302,2.515259,0.081185,0.990531,0.000000,0.000000,1.000000
303,0.454114,0.079540,0.990500,1.000000,0.000000,0.000000
304,1.144416,0.081673,0.990469,0.000000,1.000000,0.000000
305,2.487720,0.082187,0.990437,0.000000,0.000000,1.000000
306,2.505378,0.080725,0.990406,0.000000,0.000000,1.000000
307,0.461366,0.083663,0.990375,1.000000,0.000000,0.000000
308,0.491263,0.088113,0.990344,1.000000,0.000000,0.000000
309,0.462033,0.084276,0.990313,1.000000,0.000000,0.000000
310,2.511591,0.086961,0.990281,0.000000,0.000000,1.000000
311,1.173081,0.088372,0.990250,0.000000,1.000000,0.000000
312,0.474898,0.094694,0.990219,1.000000,0.000000,0.000000
313,0.493115,0.093294,0.990187,1.000000,0.000000,0.000000
314,0.473970,0.096148,0.990156,1.000000,0.000000,0.000000
315,0.483147,0.098584,0.990125,1.000000,0.000000,0.000000
316,2.481952,0.100929,0.990094,0.000000,0.000000,1.000000
317,2.467687,0.103392,0.990062,0.000000,0.000000,1.000000
318,1.159737,0.104743,0.990031,0.000000,1.000000,0.000000
319,0.477045,0.106523,0.990000,1.000000,0.000000,0.000000
320,2.508404,0.107876,0.989969,0.000000,0.000000,1.000000
321,2.516064,0.110922,0.989938,0.000000,0.000000,1.000000
322,1.162475,0.110254,0.989906,0.000000,1.000000,0.000000
323,0.458255,0.109119,0.989875,1.000000,0.000000,0.000000
324,0.430968,0.110010,0.989844,1.000000,0.000000,0.000000
325,0.450444,0.109379,0.989812,1.000000,0.000000,0.000000
326,1.178025,0.108350,0.989781,0.000000,1.000000,0.000000
327,0.450670,0.106265,0.989750,1.000000,0.000000,0.000000
328,0.475279,0.101778,0.989719,1.000000,0.000000,0.000000
329,0.465676,0.099579,0.989688,1.000000,0.000000,0.000000
330,1.184718,0.096810,0.989656,0.000000,1.000000,0.000000
331,2.547783,0.098110,0.989625,0.000000,0.000000,1.000000
332,0.488847,0.089217,0.989594,1.000000,0.000000,0.000000
333,2.499631,0.085392,0.989563,0.000000,0.000000,1.000000
334,0.464991,0.080428,0.989531,1.000000,0.000000,0.000000
335,0.480396,0.078983,0.989500,1.000000,0.000000,0.000000
336,1.200170,0.072471,0.989469,0.000000,1.000000,0.000000
337,2.546061,0.069233,0.989437,0.000000,0.000000,1.000000
338,0.456527,0.059469,0.989406,1.000000,0.000000,0.000000
339,2.561050,0.062069,0.989375,0.000000,0.000000,1.000000
340,2.540509,0.049801,0.989344,0.000000,0.000000,1.000000
341,0.482911,0.044940,0.989313,1.000000,0.000000,0.000000
342,0.473746,0.054804,0.989281,1.000000,0.000000,0.000000
343,1.198378,0.033594,0.989250,0.000000,1.000000,0.000000
344,1.180186,0.030741,0.989219,0.000000,1.000000,0.000000
345,0.455143,0.023409,0.989187,1.000000,0.000000,0.000000
346,0.488871,0.018848,0.989156,1.000000,0.000000,0.000000
347,2.508493,0.017365,0.989125,0.000000,0.000000,1.000000
348,0.458317,0.012113,0.989094,1.000000,0.000000,0.000000
349,1.166287,0.009863,0.989062,0.000000,1.000000,0.000000
350,0.479346,0.006415,0.989031,1.000000,0.000000,0.000000
351,1.172320,0.004857,0.989000,0.000000,1.000000,0.000000
352,1.154177,0.000196,0.988969,0.000000,1.000000,0.000000
353,1.160395,0.000000,0.988938,0.000000,1.000000,0.000000
354,0.487011,0.000000,0.988906,1.000000,0.000000,0.000000
355,1.156330,0.000000,0.988875,0.000000,1.000000,0.000000
356,0.452457,0.000000,0.988844,1.000000,0.000000,0.000000
357,2.506167,0.000000,0.988812,0.000000,0.000000,1.000000
358,1.184806,0.000000,0.988781,0.000000,1.000000,0.000000
359,2.488523,0.000000,0.988750,0.000000,0.000000,1.000000
360,0.483017,0.001545,0.988719,1.000000,0.000000,0.000000
361,0.487635,0.000000,0.988688,1.000000,0.000000,0.000000
362,0.502787,0.001646,0.988656,1.000000,0.000000,0.000000
363,1.165065,0.004114,0.988625,0.000000,1.000000,0.000000
364,0.492201,0.004881,0.988594,1.000000,0.000000,0.000000
365,1.172721,0.008883,0.988563,0.000000,1.000000,0.000000
366,0.495227,0.010702,0.988531,1.000000,0.000000,0.000000
367,0.488849,0.013082,0.988500,1.000000,0.000000,0.000000
368,0.480817,0.016152,0.988469,1.000000,0.000000,0.000000
369,1.147413,0.017121,0.988437,0.000000,1.000000,0.000000
370,0.497466,0.020390,0.988406,1.000000,0.000000,0.000000
371,2.487645,0.025243,0.988375,0.000000,0.000000,1.000000
372,0.493339,0.031356,0.988344,1.000000,0.000000,0.000000
373,2.499098,0.028586,0.988313,0.000000,0.000000,1.000000
374,0.517436,0.031557,0.988281,1.000000,0.000000,0.000000
375,1.154713,0.032950,0.988250,0.000000,1.000000,0.000000
376,1.182486,0.035418,0.988219,0.000000,1.000000,0.000000
377,0.485281,0.035678,0.988187,1.000000,0.000000,0.000000
378,2.507977,0.038264,0.988156,0.000000,0.000000,1.000000
379,0.523552,0.041552,0.988125,1.000000,0.000000,0.000000
380,1.145278,0.039543,0.988094,0.000000,1.000000,0.000000
381,2.488571,0.039642,0.988062,0.000000,0.000000,1.000000
382,0.514895,0.039971,0.988031,1.000000,0.000000,0.000000
383,0.516207,0.042151,0.988000,1.000000,0.000000,0.000000
384,2.511791,0.041650,0.987969,0.000000,0.000000,1.000000
385,0.523995,0.038530,0.987938,1.000000,0.000000,0.000000
386,0.529737,0.037657,0.987906,1.000000,0.000000,0.000000
387,0.468476,0.036541,0.987875,1.000000,0.000000,0.000000
388,1.142943,0.035162,0.987844,0.000000,1.000000,0.000000
389,0.534322,0.033319,0.987812,1.000000,0.000000,0.000000
390,1.145334,0.034071,0.987781,0.000000,1.000000,0.000000
391,2.497805,0.027842,0.987750,0.000000,0.000000,1.000000
392,2.485156,0.027619,0.987719,0.000000,0.000000,1.000000
393,0.514504,0.023284,0.987688,1.000000,0.000000,0.000000
394,2.479168,0.022798,0.987656,0.000000,0.000000,1.000000
395,1.138580,0.018428,0.987625,0.000000,1.000000,0.000000
396,0.528570,0.015396,0.987594,1.000000,0.000000,0.000000
397,0.522919,0.012395,0.987563,1.000000,0.000000,0.000000
398,1.157629,0.013323,0.987531,0.000000,1.000000,0.000000
399,1.144107,0.019656,0.987500,0.000000,1.000000,0.000000
400,2.498814,0.005242,0.987469,0.000000,0.000000,1.000000
401,0.519342,0.001712,0.987437,1.000000,0.000000,0.000000
402,1.150875,0.000000,0.987406,0.000000,1.000000,0.000000
403,0.512255,0.000323,0.987375,1.000000,0.000000,0.000000
404,0.520732,0.000000,0.987344,1.000000,0.000000,0.000000
405,0.525196,0.000000,0.987313,1.000000,0.000000,0.000000
406,0.488591,0.000000,0.987281,1.000000,0.000000,0.000000
407,1.151872,0.000000,0.987250,0.000000,1.000000,0.000000
408,2.499593,0.000000,0.987219,0.000000,0.000000,1.000000
409,0.535129,0.000000,0.987187,1.000000,0.000000,0.000000
410,2.490596,0.000000,0.987156,0.000000,0.000000,1.000000
411,0.508808,0.000000,0.987125,1.000000,0.000000,0.000000
412,2.490672,0.000000,0.987094,0.000000,0.000000,1.000000
413,1.158662,0.000000,0.987062,0.000000,1.000000,0.000000
414,0.522083,0.000000,0.987031,1.000000,0.000000,0.000000
415,0.517323,0.000000,0.987000,1.000000,0.000000,0.000000
416,2.501408,0.000000,0.986969,0.000000,0.000000,1.000000
417,0.540786,0.000000,0.986938,1.000000,0.000000,0.000000
418,1.153375,0.000000,0.986906,0.000000,1.000000,0.000000
419,0.538237,0.000000,0.986875,1.000000,0.000000,0.000000
420,2.519966,0.000000,0.986844,0.000000,0.000000,1.000000
421,1.159482,0.000000,0.986812,0.000000,1.000000,0.000000
422,0.527011,0.000000,0.986781,1.000000,0.000000,0.000000
423,0.528658,0.000000,0.986750,1.000000,0.000000,0.000000
424,2.542940,0.001766,0.986719,0.000000,0.000000,1.000000
425,2.533322,0.004008,0.986688,0.000000,0.000000,1.000000
426,0.498646,0.006167,0.986656,1.000000,0.000000,0.000000
